University Name,Acceptance Rate,Enrolments,Website,Response Type,Degrees Offered,"Global Ranking(14,131)","Continent Wise(5,830)",National Ranking(175),City Wise,City Ranking,No of employees,Publications ,Citations per Faculty
University of the Punjab: Statistics,15%,"32,500",pu.edu.pk,Public-privatepartnership,Doctorate,#1240,#319,#1,Lahore,#1,950,"9,740","132,126"
Aga Khan University: Statistics,20%*,"2,500",www.aku.edu,Private,Doctorate,#1559,#434,#2,Karachi,#1,850,"7,475","343,849"
Quaid-i-Azam University: Statistics,21%*,"7,500",qau.edu.pk,Public-privatepartnership,Bachelor,#2014,#592,#3,Islamabad,#1,250,"13,401","283,251"
Lahore University of Management Sciences: Statistics,23%*,"3,500",lums.edu.pk,Private,Doctorate,#2061,#606,#4,Lahore,#2,250,"2,698","37,250"
"University of Agriculture, Faisalabad: Statistics",35%,"17,500",uaf.edu.pk,Public-privatepartnership,Doctorate,#2122,#624,#5,Faisalabad,#1,650,"20,228","363,949"
University of Karachi: Statistics,4%,"27,500",uok.edu.pk,Public-privatepartnership,Bachelor,#2327,#690,#6,Karachi,#2,650,"8,269","103,565"
"University of Engineering and Technology, Lahore: Statistics",25%*,"12,500",uet.edu.pk,Public-privatepartnership,Bachelor,#2401,#719,#7,Lahore,#3,350,"6,810","65,957"
COMSATS Institute of Information Technology: Statistics,35%,"32,500",comsats.edu.pk,Public-privatepartnership,Doctorate,#2526,#758,#8,Islamabad,#2,"2,250","17,977","291,662"
Bahauddin Zakariya University: Statistics,28%*,"22,500",bzu.edu.pk,Public-privatepartnership,Bachelor,#2862,#896,#9,Multan,#1,750,"4,756","77,323"
"International Islamic University, Islamabad: Statistics",23%*,"22,500",iiu.edu.pk,Public-privatepartnership,Doctorate,#2912,#912,#10,Islamabad,#3,550,"4,841","52,956"
National University of Computer and Emerging Sciences: Statistics,5%,"8,500",nu.edu.pk,Private,Doctorate,#3011,#953,#11,Islamabad,#4,350,"2,087","22,565"
University of Peshawar: Statistics,55%,"9,500",uop.edu.pk,Public-privatepartnership,Doctorate,#3040,#967,#12,Peshawar,#1,550,"4,290","65,767"
University of Sindh: Statistics,25%,"27,500",usindh.edu.pk,Public-privatepartnership,Doctorate,#3363,#1089,#13,Jamshoro,#1,650,"2,220","35,335"
National University of Sciences and Technology: Statistics,4%,"9,500",nust.edu.pk,Public-privatepartnership,Doctorate,#3463,#1125,#14,Islamabad,#5,"1,250","2,971","20,113"
Islamia University of Bahawalpur: Statistics,85%,"17,500",iub.edu.pk,Public-privatepartnership,Doctorate,#3473,#1129,#15,Bahawalpur,#1,"1,750","3,699","40,211"
"Government College University, Lahore: Statistics",64%*,"7,500",gcu.edu.pk,Public-privatepartnership,Bachelor,#3498,#1139,#16,Lahore,#4,350,"3,160","30,814"
University of Lahore: Statistics,95%,"34,404",www.uol.edu.pk,Private,Doctorate,#3644,#1201,#17,Lahore,#5,"1,958","3,925","29,392"
NED University of Engineering and Technology: Statistics,45%,"8,500",www.neduet.edu.pk,Public-privatepartnership,Doctorate,#3755,#1248,#18,Karachi,#3,450,"1,251","11,171"
"Government College University, Faisalabad: Statistics",25%,"22,500",gcuf.edu.pk,Public-privatepartnership,Master,#3868,#1291,#19,Faisalabad,#2,650,"4,950","68,128"
Mehran University of Engineering and Technology: Statistics,15%,"7,500",muet.edu.pk,Public-privatepartnership,Doctorate,#3870,#1293,#20,Jamshoro,#2,450,"1,568","15,426"
Abdul Wali Khan University Mardan: Statistics,34%*,"7,500",awkum.edu.pk,Public-privatepartnership,Doctorate,#3917,#1313,#21,Physics,#808,650,"3,115","34,380"
Information Technology University: Statistics,38%*,375,itu.edu.pk,Public-privatepartnership,Bachelor,#4115,#1405,#22,Lahore,#6,25,"11,172","216,640"
DOW University of Health Sciences: Statistics,55%,"8,006",www.duhs.edu.pk,Public-privatepartnership,Doctorate,#4186,#1435,#23,medicine,#444,"1,076","3,027","27,697"
Fatima Jinnah Women University: Statistics,55%,"4,500",fjwu.edu.pk,Public-privatepartnership,,#4194,#1440,#24,Rawalpindi,#1,150,720,"7,447"
Institute of Business Administration Rankings,7%,"3,500",iba.edu.pk,Public-privatepartnership,Doctorate,#4248,#1457,#25,Karachi,#4,150,371,"1,453"
University of Central Punjab: Statistics,36%*,"7,500",www.ucp.edu.pk,Private,,#4266,#1462,#26,Lahore,#7,350,"1,096","6,071"
Forman Christian College: Statistics,45%*,"2,500",www.fccollege.edu.pk,Private,,#4326,#1490,#27,Lahore,#8,250,768,"7,368"
National Defence University: Statistics,65%,"1,500",ndu.edu.pk,Public-privatepartnership,Doctorate,#4569,#1597,#28,Islamabad,#6,75,942,"2,681"
University of Sargodha: Statistics,44%*,"22,500",su.edu.pk,Public-privatepartnership,Master,#4644,#1630,#29,Horticulture,#639,650,"3,678","36,726"
University of Management and Technology - Lahore: Statistics,33%*,"9,057",umt.edu.pk,Private,Bachelor,#4695,#1654,#30,Lahore,#9,311,"1,597","10,171"
"University of Engineering and Technology, Taxila: Statistics",15%,"4,500",uettaxila.edu.pk,Public-privatepartnership,Doctorate,#4774,#1685,#31,Taxila,#1,250,"1,662","17,792"
King Edward Medical University: Statistics,26%*,"3,500",kemu.edu.pk,Public-privatepartnership,Doctorate,#4793,#1691,#32,Lahore,#10,250,"1,209","14,805"
Lahore College for Women University: Statistics,32%*,"12,500",lcwu.edu.pk,Public-privatepartnership,Bachelor,#4800,#1694,#33,Lahore,#11,550,"1,289","9,450"
Pakistan Institute of Engineering and Applied Sciences: Statistics,35%*,"1,500",www.pieas.edu.pk,Public-privatepartnership,Doctorate,#4824,#1704,#34,Islamabad,#7,150,"2,159","28,001"
Riphah International University: Statistics,45%,"7,500",www.riphah.edu.pk,Private,Doctorate,#4844,#1714,#35,Islamabad,#8,550,"2,318","17,128"
Bahria University: Statistics,36%*,"12,500",www.bahria.edu.pk,Public-privatepartnership,Bachelor,#4860,#1725,#36,Islamabad,#9,550,"2,236","16,983"
Pir Mehr Ali Shah Arid Agriculture University: Statistics,31%*,"8,500",www.uaar.edu.pk,Public-privatepartnership,Bachelor,#4940,#1760,#37,Rawalpindi,#2,250,"2,228","32,885"
Liaquat University of Medical and Health Sciences: Statistics,26%*,"2,500",lumhs.edu.pk,Public-privatepartnership,Bachelor,#4949,#1765,#38,Jamshoro,#3,350,675,"4,401"
